קבוצה,שלב,ניקוד,אחראי מצוות,מוביל/ה,חברים קבועים,תנאי
ארוחת צהריים שישי,הכנות שישי,3,,,,
בית מדרש,תורנות שישי,3,,,,תנורים כל היום;תנורים עד 11:00
ניקיון חדר האוכל בשישי,תורנות שישי,3,,,,נפרדת;תנורים מ-11:00
ארוחת ערב,תורנות שבת,2,כן,,,
טיש,תורנות שבת,1,כן,,,
קידוש,תורנות שבת,1,כן,,,
ארוחת צהריים שבת,תורנות שבת,2,כן,,,
ניקיון בית המדרש,"תורנות מוצ""ש",2,,,,תנורים כל היום;תנורים מ-11:00
ניקיון חדר האוכל,"תורנות מוצ""ש",3,,,,תנורים כל היום;תנורים עד 11:00
"ארוחת ערב מוצ""ש","תורנות מוצ""ש",3,,,,
