מצרך,יחידה,קטגוריית קנייה,מלאי קבוע,מינימום במלאי
קמח לבן,ק"ג,יבשים ואפייה,כן,15
קמח מלא,ק"ג,יבשים ואפייה,כן,5
סוכר לבן,ק"ג,יבשים ואפייה,כן,10
סוכר חום,ק"ג,יבשים ואפייה,כן,2
שמן קנולה,ליטר,יבשים ואפייה,כן,6
שמרים יבשים,שקית,יבשים ואפייה,כן,20
שמרים טריים,חבילה,יבשים ואפייה,לא,
אבקת אפייה,שקית,יבשים ואפייה,כן,10
סודה לשתייה,שקית,יבשים ואפייה,כן,5
מלח,ק"ג,יבשים ואפייה,כן,3
קקאו,ק"ג,יבשים ואפייה,כן,2
וניל,שקית,יבשים ואפייה,כן,10
שוקולד צ'יפס,ק"ג,יבשים ואפייה,לא,
שוקולד מריר,ק"ג,יבשים ואפייה,לא,
פירורי ביסקוויט,ק"ג,יבשים ואפייה,לא,
ביסקוויטים,חבילה,יבשים ואפייה,לא,
קורנפלקס,חבילה,יבשים ואפייה,לא,
אורז,ק"ג,יבשים ואפייה,כן,10
פסטה,ק"ג,יבשים ואפייה,כן,5
טחינה גולמית,ק"ג,שימורים ורטבים,כן,4
מיונז,ק"ג,שימורים ורטבים,כן,2
קטשופ,ק"ג,שימורים ורטבים,כן,2
סחוג,קופסה,שימורים ורטבים,לא,
רסק עגבניות,קופסה,שימורים ורטבים,כן,6
חומץ,בקבוק,שימורים ורטבים,כן,2
ביצים,יחידה,מוצרי חלב וביצים,לא,
חלב,ליטר,מוצרי חלב וביצים,לא,
חלב סויה / שקדים,ליטר,מוצרי חלב וביצים,לא,
חמאה,חבילה,מוצרי חלב וביצים,לא,
מרגרינה,חבילה,מוצרי חלב וביצים,לא,
גבינה לבנה,ק"ג,מוצרי חלב וביצים,לא,
גבינה צהובה,ק"ג,מוצרי חלב וביצים,לא,
שמנת מתוקה,ליטר,מוצרי חלב וביצים,לא,
לבנה,ק"ג,מוצרי חלב וביצים,לא,
עגבניות,ק"ג,ירקות ופירות,לא,
מלפפונים,ק"ג,ירקות ופירות,לא,
בצל,ק"ג,ירקות ופירות,לא,
גזר,ק"ג,ירקות ופירות,לא,
חצילים,ק"ג,ירקות ופירות,לא,
פלפלים,ק"ג,ירקות ופירות,לא,
פטרוזיליה,צרור,ירקות ופירות,לא,
לימונים,ק"ג,ירקות ופירות,לא,
בננות,ק"ג,ירקות ופירות,לא,
תפוחים,ק"ג,ירקות ופירות,לא,
פומלה,יחידה,ירקות ופירות,לא,
קיווי,ק"ג,ירקות ופירות,לא,
מלון,יחידה,ירקות ופירות,לא,
פסיפלורה,קופסה,ירקות ופירות,לא,
תמרים,ק"ג,ירקות ופירות,לא,
פיצוחים לטיש,ק"ג,ירקות ופירות,לא,
פיתות,חבילה,לחם ומאפים,לא,
לחם,כיכר,לחם ומאפים,לא,
צ'יפס קפוא,ק"ג,קפואים,לא,
בית לזית,חבילה,קפואים,לא,
ג'חנון,חבילה,קפואים,לא,
כנאפה,חבילה,קפואים,לא,
שתייה קלה,בקבוק,שתייה,לא,
מיץ ענבים / יין לקידוש,בקבוק,שתייה,לא,
קפה,צנצנת,שתייה,כן,4
תה,חבילה,שתייה,כן,4
סוכרזית,חבילה,שתייה,כן,2
צלחות חד"פ,חבילה,חד"פ וניקיון,כן,10
כוסות חד"פ,חבילה,חד"פ וניקיון,כן,10
סכו"ם חד"פ,חבילה,חד"פ וניקיון,כן,10
מגשי אלומיניום,יחידה,חד"פ וניקיון,כן,30
נייר אפייה,גליל,חד"פ וניקיון,כן,5
ניילון נצמד,גליל,חד"פ וניקיון,כן,3
שקיות אשפה,גליל,חד"פ וניקיון,כן,10
אקונומיקה,בקבוק,חד"פ וניקיון,כן,4
סבון כלים,בקבוק,חד"פ וניקיון,כן,4
ניירות ניגוב,גליל,חד"פ וניקיון,כן,12
נייר טואלט,גליל,חד"פ וניקיון,כן,24
