ארוחה,מנה,כמות,הערה
ארוחת ערב,פרגית בגריל,,
ארוחת ערב,קוסקוס,,
ארוחת ערב,לקט קוסקוס,,
ארוחת ערב,מוקפץ טבעוני,,
ארוחת צהריים,כתף בקר,,
ארוחת צהריים,אורז לבן,,
ארוחת צהריים,"תפו""א ובטטה",,
ארוחת צהריים,אנטי פסטי,,
ארוחת צהריים,שווארמה טבעונית,,
סלטים,סלק אדום,,
סלטים,ירקות מוחמצים,,
סלטים,בטטה,,
סלטים,כרוב במיונז,,
סלטים,חומוס,,
מההכנות לערב,"חצי מהמטבוחה, חצי מהחלות",,
מההכנות לצהריים,"סלט חצילים, מטבוחה",,
טיש,"5 פסי עוגת דבש, 2 עוגות שמרים וחצי מהבראוניז",,
קידוש,"3 פסי עוגת דבש, 2 עוגות שמרים, העוגיות וחצי מהבראוניז",,
סעודה שלישית,3 פסי עוגת דבש ו-3 עוגות שמרים,,
