יום,אירוע,מקום,בסיס,היסט,הערה
חמישי,ערב חמישי,,קבוע,19:00,
שישי,תחילת עבודה,,קבוע,08:00,הפרשת חלה 8:00
שישי,ארוחת צהריים,,קבוע,12:00,
שישי,קבלת שבת ישראלית,הדק של שנה א',כניסה,-30,
שישי,הדלקת נרות,,כניסה,0,
שישי,קבלת שבת וערבית,בית מיכאל,כניסה,10,
שישי,סעודת שבת,חדר אוכל,כניסה,120,
שישי,טיש,חדר אוכל,כניסה,210,
שבת,קידוש,חדר אוכל,קבוע,11:00,
שבת,חבורות,,קבוע,11:45,
שבת,ארוחת צהריים,חדר אוכל,קבוע,13:15,
שבת,שיעור של שלמה,בית המדרש,קבוע,16:00,
שבת,סעודה שלישית,חדר אוכל,קבוע,18:00,
שבת,הבדלה,,צאה,0,
שבת,"ניקיונות מוצ""ש",בית המדרש וחדר האוכל,צאה,20,
