תאריך,שם,אנשי צוות,ספר,כניסת שבת,צאת שבת
2026-09-04,שבת פתיחה,,יונה,,
2026-09-18,,,עמוס,,
2026-10-16,,הילה;שלמה,הושע 1 (א–ז),17:38,18:41
2026-10-30,,תמר;אורי,הושע 2 (ז–יד),16:23,17:28
2026-11-13,שבת סטודנטים,בניה;שלמה,מיכה,16:13,17:18
2026-11-27,שבת אחרי שבוע אמצע,הילה;אורי,צפניה + נחום,16:07,17:14
2026-12-25,שבת בוגרים,בניה;שלמה,חבקוק + עובדיה,16:14,17:22
2027-01-08,,יואב;אורי,חגי + זכריה 1 (א–ח),16:24,17:32
2027-01-22,,יואב;שלמה,זכריה 2 (ח–יד),16:36,17:43
2027-02-12,שבת סיכום,הילה;שלמה;תמר;אורי;בניה;יואב;אבי,יואל + מלאכי,16:55,18:01
