שלב,יום,שעה,קבוצה,משימה,אנשים,מתכון,ניקוד,עוגן
הכנות שישי,שישי,,עוגות · צוות רותם,אפיית עוגות לפי המתכון,3,,1,תחילת עבודה
הכנות שישי,שישי,,עוגות · צוות יותם,אפיית עוגות לפי המתכון,3,,1,תחילת עבודה
הכנות שישי,שישי,,עוגות · צוות סהר,אפיית עוגות לפי המתכון,3,,1,תחילת עבודה
הכנות שישי,שישי,,עוגות · צוות שילת,אפיית עוגות לפי המתכון,2,,1,תחילת עבודה
הכנות שישי,שישי,12:00,ארוחת צהריים שישי,הגשת ארוחת הצהריים,4,,1,ארוחת צהריים
הכנות שישי,שישי,13:00,ארוחת צהריים שישי,"קיפול הארוחה, שטיפת כלים",4,,1,ארוחת צהריים
תורנות שבת,שישי,14:00,בית מדרש · ארוחת ערב וטיש,פריקת האוכל שמגיע מהקייטרינג,2,,1,הדלקת נרות
תורנות שבת,שישי,17:00,בית מדרש · ארוחת ערב וטיש,"הנחת האוכל על הפלטות, וחיבור מיחמים בפינת קפה",2,,1,הדלקת נרות
תורנות שבת,שישי,19:30,בית מדרש · ארוחת ערב וטיש,הורדת האוכל מהפלטות ומתנור החימום לארוחה,3,,1,קבלת שבת וערבית
תורנות שבת,שישי,19:30,בית מדרש · ארוחת ערב וטיש,"עריכת שולחן: טחינה, צלחות וסכו""ם, לחמניות, וסלטים מהקייטרינג אם יש",3,,1,קבלת שבת וערבית
תורנות שבת,שישי,21:00,בית מדרש · ארוחת ערב וטיש,חימום 10 עוגות פרווה על הפלטה,2,,1,סעודת שבת
תורנות שבת,שישי,21:00,בית מדרש · ארוחת ערב וטיש,חיתוך אבטיח,1,,1,סעודת שבת
תורנות שבת,שישי,21:30,בית מדרש · ארוחת ערב וטיש,"פריסת שולחן במרכז: 10 עוגות פרווה, גרעינים, בקבוקים ואבטיח, כוסות ושתייה",3,,1,סעודת שבת
תורנות שבת,שישי,21:30,בית מדרש · ארוחת ערב וטיש,"סידור המרחב: שולחנות בקוביה במרכז, כיסאות במעגל מסביב",3,,1,סעודת שבת
תורנות שבת,שישי,,בית מדרש · ארוחת ערב וטיש,"ניקיון חדר האוכל בסיום הטיש: טאטוא, שטיפת גסטרונומים וניקוי השולחנות",,,1,טיש בחדר אוכל
תורנות שבת,שבת,10:30,בית מדרש · קידוש,"סידור וניקיון פינת קפה — להוציא חלב, למלא קפה וסוכר",1,,1,קידוש
תורנות שבת,שבת,10:30,בית מדרש · קידוש,חימום עוגות,1,,1,קידוש
תורנות שבת,שבת,10:30,בית מדרש · קידוש,"טאטוא הרצפה, סידור כיסאות וארגון המרחב",1,,1,קידוש
תורנות שבת,שבת,10:30,בית מדרש · קידוש,"הוצאת 15 עוגות, חלב, קורנפלקס, ענבים ואבטיח",1,,1,קידוש
תורנות שבת,שבת,10:30,בית מדרש · קידוש,חיתוך האבטיח,1,,1,קידוש
תורנות שבת,שבת,11:00,בית מדרש · צהריים בשבת,הנחת האוכל בתנור החימום,1,,1,קידוש
תורנות שבת,שבת,12:30,בית מדרש · צהריים בשבת,"פריסת האוכל, כפות הגשה, צלחות וסכו""ם",2,,1,חבורות
תורנות שבת,שבת,12:30,בית מדרש · צהריים בשבת,"סידור שולחנות וכיסאות לארוחה, ופינוי הכל בסיום",3,,1,חבורות
תורנות שבת,מוצאי שבת,,,כולם בבית המדרש לחלוקת גזרות,,,1,"ניקיונות מוצ""ש"
