תאריך,פרשה,כניסת שבת,צאת שבת
04/09/2026,"נצבים, וילך",18:20,19:39
11/09/2026,ראש השנה,18:11,19:30
18/09/2026,האזינו,18:02,19:20
25/09/2026,סוכות,17:53,19:11
02/10/2026,שמיני עצרת,17:44,19:02
09/10/2026,בראשית,17:35,18:54
16/10/2026,נח,17:26,18:45
23/10/2026,לך לך,17:19,18:38
30/10/2026,וירא,16:12,17:31
06/11/2026,חיי שרה,16:06,17:25
13/11/2026,תולדות,16:01,17:21
20/11/2026,ויצא,15:58,17:17
27/11/2026,וישלח,15:56,17:15
04/12/2026,וישב (חנוכה),15:55,17:15
11/12/2026,מקץ (חנוכה),15:56,17:16
18/12/2026,ויגש,15:58,17:18
25/12/2026,ויחי,16:01,17:22
01/01/2027,שמות,16:06,17:27
08/01/2027,וארא,16:12,17:32
15/01/2027,בא,16:18,17:39
22/01/2027,בשלח (ט״ו בשבט),16:24,17:45
29/01/2027,יתרו,16:30,17:51
05/02/2027,משפטים,16:37,17:58
12/02/2027,תרומה,16:43,18:04
19/02/2027,תצוה,16:49,18:10
26/02/2027,כי תשא,16:54,18:15
05/03/2027,ויקהל,17:00,18:20
12/03/2027,פקודי,17:05,18:26
19/03/2027,ויקרא,17:10,18:30
26/03/2027,צו,18:14,19:35
02/04/2027,שמיני,18:19,19:40
09/04/2027,תזריע,18:24,19:44
16/04/2027,מצורע,18:29,19:49
23/04/2027,פסח,18:33,19:54
30/04/2027,אחרי מות,18:38,19:59
07/05/2027,קדושים,18:43,20:04
14/05/2027,אמור,18:48,20:09
21/05/2027,בהר,18:53,20:13
28/05/2027,בחוקותי,18:57,20:18
04/06/2027,במדבר,19:01,20:22
11/06/2027,נשא,19:04,20:25
18/06/2027,בהעלותך,19:07,20:27
25/06/2027,שלח,19:08,20:28
02/07/2027,קרח,19:09,20:29
09/07/2027,חקת,19:08,20:27
16/07/2027,בלק,19:06,20:25
23/07/2027,פינחס,19:02,20:22
30/07/2027,"מטות, מסעי",18:58,20:17
06/08/2027,דברים,18:52,20:11
13/08/2027,ואתחנן,18:45,20:04
20/08/2027,עקב,18:38,19:57
27/08/2027,ראה,18:30,19:49
